Model,Normalized Float,Tone Float,Tech Float,Preference Float
1Custom SA02,3.5,3.5,4.0,
1Custom SA03,4.0,4.0,4.0,
1Custom SA05,4.0,4.0,4.0,
1More Dual Driver,3.0,3.5,3.0,
1More Piston,2.0,3.0,2.0,
1More Quad,1.5,2.5,2.5,2.0
1More Quad Driver,3.0,3.5,3.0,
1More Single Driver,2.5,2.5,2.5,
1More Stylish,2.0,2.5,2.0,
1More Triple,1.5,2.0,1.5,2.0
1More Triple Driver,2.5,3.0,2.5,
64 Audio A/U12t,6.5,6.5,7.0,
64 Audio A/U18 Tzar,6.0,5.5,7.0,
64 Audio A18S,5.5,5.0,6.5,
64 Audio A2e,3.5,3.5,4.0,
64 Audio A3t,6.0,6.33,5.67,6.0
64 Audio A4s,6.2,6.67,6.0,6.0
64 Audio A4t,4.5,5.5,4.0,
64 Audio A6t,5.0,6.0,4.5,
64 Audio Duo,4.85,5.208,4.875,5.75
64 Audio Fourte Blanc,6.4,5.67,7.67,6.0
64 Audio N8,5.5,5.5,5.5,
64 Audio Nio,6.367,7.11,6.0,7.0
64 Audio Nio (M15),6.5,6.5,7.0,7.0
64 Audio Tia Forte,5.5,5.0,7.9,5.5
64 Audio Tia Fourte,6.4,5.0,8.33,6.0
64 Audio Tia Trio,6.7,7.0,6.777,8.0
64 Audio Trio,6.0,6.5,7.0,6.5
64 Audio U12T,7.5,,,8.0
64 Audio U12T (M15),7.9,7.9,8.7,8.7
64 Audio U12t,8.7,8.0,9.0,9.0
64 Audio U18S,6.5,6.67,7.0,6.0
64 Audio U18T,4.9,5.085,6.25,4.75
64 Audio U4s,7.7,7.67,7.33,8.0
64 Audio U6t ,7.1,7.67,6.67,7.0
64 Audio tia Fourte,5.0,4.0,6.5,
64 Audio tia Fourte Noir,5.0,4.0,6.5,
7Hz Eternal,4.025,3.958,4.75,4.75
7Hz Legato,3.5,4.0,3.5,4.0
7Hz Salnotes Dioko,5.05,5.0,5.17,5.0
7Hz Salnotes Zero,5.5,7.9,4.5,6.0
7Hz Timeless,6.2,6.208,6.25,6.25
7Hz Timeless AE,5.5,,,5.5
7Hz Zero,4.7,4.67,4.67,5.0
7Hz x Crinacle Dioko,4.25,4.5,3.5,4.5
7hz Timeless,5.5,,,5.5
7th Acoustics Proxima,4.667,4.75,4.5,5.333
7th Acoustics Supernova,7.15,8.5,7.0,7.0
A&K T8iE,5.0,5.0,5.5,
A&K x CFA Pathfinder,5.2,5.0,5.67,5.0
AAW A2H Pro V1,0.5,2.0,0.5,
AAW A2H-Pro V2,2.0,3.0,1.5,
AAW A3H (2019),3.5,3.5,3.5,
AAW A3H Plus,4.0,4.5,4.0,
AAW A3H Pro V2,3.5,4.5,3.5,
AAW ACH/Kingfisher,2.5,2.5,2.5,
AAW ASH,5.0,5.0,5.5,
AAW AXH (2019),4.5,4.5,5.5,
AAW Canary,4.0,4.0,4.5,
AAW Halcyon,4.0,4.5,4.0,
AAW Halycon,3.5,3.5,4.0,
AAW Mockingbird,4.0,4.0,4.0,
AAW Nebula Two,3.0,3.5,3.0,
AAW Nightingale,3.0,2.0,4.5,
AAW W100,3.5,3.5,3.5,
AAW x Custom Art Project 4+2,4.0,4.5,4.0,
ACS Encore,3.5,3.5,3.5,
AKG N40,3.5,4.5,3.5,
AKG N400,5.5,7.0,5.0,
AKG N5005,5.0,5.0,5.0,
AKG Phone Buds,3.3,3.33,3.67,3.0
ARC Mira,4.5,5.0,4.5,
ARC Oculus,4.5,4.5,4.5,
ARC Pollux,4.0,5.0,4.0,
AVIOT TE-D01b/TE-D01d,3.5,3.5,3.5,
AZLA Orta,3.0,3.0,4.0,
Acoustune HS1001,3.0,2.5,4.5,
Acoustune HS1003,3.0,3.0,4.0,
Acoustune HS1004,3.5,3.5,4.5,
Acoustune HS1300,4.5,4.5,5.5,
Acoustune HS1501,4.0,3.5,5.5,
Acoustune HS1503,3.5,2.5,5.0,
Acoustune HS1551,4.5,4.0,5.5,
Acoustune HS1650,5.0,5.0,6.0,
Acoustune HS1655Cu,4.5,4.5,5.5,
Acoustune HS1657,4.5,4.5,5.5,
Acoustune HS1670,5.0,5.0,6.0,
Acoustune HS1677,4.5,4.5,5.5,
Acoustune HS1695Ti,5.0,5.0,6.0,
Acoustune HS1697,4.5,3.5,6.0,
Acoustune HS1750,5.0,5.0,5.5,
Acoustune HS1790,4.0,3.5,5.5,
Acoustune HS2000MX “SHO-笙-“,3.5,2.0,6.5,
Advanced 747,3.0,3.0,3.0,
Advanced Elise,2.5,2.5,3.0,
Advanced Evo X,4.0,5.0,3.5,
Advanced GT3,2.5,3.0,2.5,
Advanced GT3 Superbass,2.5,3.0,2.5,
Advanced M3,3.0,3.5,3.0,
Advanced M4,3.0,4.0,3.0,
Advanced M5-1D,3.0,3.0,3.5,
Advanced M5-5D,2.5,2.5,3.5,
Advanced Model X,2.5,2.5,2.5,
Advanced S2000,3.5,3.5,3.5,
Advanced Sleeper,2.0,3.0,2.0,
Aful Performer 5,5.55,5.33,5.0,6.0
Aful Performer 8,6.5,,,8.0
Alclair Electro,4.0,5.0,4.0,
Alclair Studio3,4.0,5.5,3.5,
Alclair Studio4,4.0,4.5,4.0,
Alclair Versa,3.5,3.5,3.5,
Alpha & Delta KS3,3.0,3.5,3.0,
Alpha&Delta D6,3.0,4.0,3.0,
Ambient Acoustics AM16,1.5,1.5,2.5,
Ambient Acoustics AM24,2.0,2.0,2.5,
Ambient Acoustics AM7,2.5,2.5,2.5,
Ambient Acoustics MAD16,3.5,3.0,5.0,
Ambient Acoustics MAD24,4.0,3.5,5.0,
Ambient Dynamics AD-006 “Lyndale”,4.0,5.0,4.0,
Anker Soundcore Liberty 2 Pro,4.0,4.5,4.0,
Anker Soundcore Liberty Air 2,4.0,4.5,4.0,
Anthem Five E2,3.0,3.5,3.0,
Anthem Five E4,4.5,5.0,4.5,
Apple AirPods Pro,4.433,5.0,4.333,4.0
Apple AirPods Pro 2,5.5,7.0,5.0,
Apple Airpods 2nd Gen,3.0,3.5,3.0,3.5
Apple Airpods Pro 2,5.0,5.0,5.0,5.0
Apple Earpods,1.5,4.0,2.0,2.0
Aroma Ace,4.5,3.5,6.0,
Aroma Early,4.0,5.0,4.0,
Aroma Shock,2.0,2.0,3.0,
Aroma Star,4.0,4.0,4.0,
Aroma Twins,4.0,4.0,5.0,
Aroma Witch Girl Pro,3.5,3.5,4.5,
Aroma Witch Girl S,4.5,4.0,5.5,
Aroma Witch Girl W12,4.5,4.0,5.5,
Aroma Yao,4.0,4.0,4.0,
Astell & Kern T9iE,4.0,4.0,5.0,
Astell&Kern ZERO1,5.3,5.0,6.0,5.0
Astrotec Delphinus 5,2.0,1.5,3.5,
Astrotec Volans,0.5,2.0,0.5,
Atomic Floyd SuperDarts,3.5,3.5,3.5,
Audeze Euclid,5.433,4.557,7.377,5.0
Audeze LCD-i3 (No Cipher),3.5,2.0,8.7,
Audeze LCD-i4,4.0,1.5,9.0,4.0
Audeze LCDi4 (No Cipher),3.5,2.0,9.0,
Audeze LCDi4 (w/ Cipher),7.1,7.0,8.67,6.0
Audeze iSine 10,3.5,1.5,5.5,4.0
Audeze iSine 10/20 (No Cipher),3.5,2.0,7.9,
Audeze iSine 20,3.5,1.5,6.0,4.0
Audio Genetic AG2,4.0,4.0,4.5,
