My Social Media,New YouTube Channel,BUY MY IEM! 💎,JOIN NEW DISCORD 🔥,Testing Playlist,VALUE,"STRENGTHS & WEAKNESSES (Base on quality, not quantity)",,,,KEYS ------>,,EXCELLENT (3),GREAT (2),GOOD (1),Under Priced 💎,Discontinued 💀,
RANKING,NAME,PROS,CONS,PRICE (USD),See Key--->,BASS,MID,TREBLE,TECHNICAL,SETUP,,OKAY (0),BAD (-1),DREADFUL (-2),Worth It 🔥,Avoid ❌,
⭐ WELCOME TO THE NEW RANKING LIST ⭐ (Press CTRL + F to search) Also New Channel-->    ,,,,    https://www.youtube.com/@TimTuned,,,,,,,,Grading Breakdown,,,,,
S,Elysian Annihilator 2021,"Speediest Treble, well extended, high details",Midbass a bit too much for me,"$3,200",💀,2,3,4,3,1DD 4BA 2EST,,,,,,,12
S,HiSenior Mega5-EST,Exceptionally tuned across the board,"Could use more ""wow"" and details",$549,🔥,3,4,3,2,1DD+2BA+2EST,,,,,,,12
S,Subtonic Storm,The most extraodinary normal sounding IEM ever. Amazing all-around,big and heavy shell ,"$5,200",-,3,3,3,3,,,APEX,4,Best in the category (only one per category),,,12
,,,,,,,,,,,,EXCELLENT,3,Some of the best the category has to offer.,,,0
S-,Elysian Annihilator 2023,More defined bass than 2021 version,2021 is cleaner and more open sounding,"$3,000",-,3,2,3,3,1DD 4BA 2EST,,GREAT,2,Will likely impress you.,,,11
,,,,,,,,,,,,GOOD,1,"Well done. Nothing more, nothing less.",,,0
A+,Elysian Diva 2021/ 2023,"Addictive smooth, natural treble....top tier tuning overall",mid bass shy,"$1,440",-,2,3,3,2,6BA,,OKAY,0,"Not bad, won't offend or impress anyone.",,,10
A+,Elysian X,"Near excellent timbre, fantastic bass ",Slight uppermids uneverness,"$5,000",💀,3,2,2,3,1DD 4BA 2EST,,BAD,-1,A problem clearly exist.,,,10
A+,Fearless X Crinacle Dawn,Clean midrange + excellent resolution,Not as dynamic bass,"$1,399",-,2,2,3,3,6BA 2EST,,DREADFUL,-2,......,,,10
A+,Moondrop Dusk (DSP Default),"Warm tuning, rich vocals and crazy amazing bass decay",Female vocals too relaxed,$359,🔥,3,3,2,2,,,,What I'm Testing For....,,,,10
A+,Softears Studio 4,"Just great all around, balance with amazingly clean midrange",,$450,🔥,2,3,3,2,4BA,,BASS,"Bass control, texture, and balance",,,,10
A+,Thieaudio Monarch,"Superb separation, fun clean signature",,$729,💀,2,2,3,3,1DD 6BA 2EST,,MID,Naturalness of instruments and vocals,,,,10
